Fecha,Id_planta,Ubicacion,Semana,Planta,AF,H,L.Raíz,P.I,PF
4/15/2024,15,L4 V2,5,3,24.99,15,NA,NA,NA
4/15/2024,16,L4 V2,5,4,30.33,13.5,NA,NA,NA
4/22/2024,1,L1 V1,6,1,44.17,9.5,NA,NA,NA
4/22/2024,2,L1 V1,6,2,55.93,11,NA,NA,NA
4/22/2024,3,L1 V2,6,3,41.85,13.5,NA,NA,NA
4/22/2024,4,L1 V2,6,4,27.9,14,NA,NA,NA
4/22/2024,5,L2 V1,6,1,51.84,11,NA,NA,NA
4/22/2024,6,L2 V1,6,2,40.66,6.5,NA,NA,NA
4/22/2024,7,L2 V2,6,3,34.84,15.5,NA,NA,NA
4/22/2024,8,L2 V2,6,4,33.89,11.5,NA,NA,NA
4/22/2024,9,L3 V1,6,1,35.14,8.5,NA,NA,NA
4/22/2024,10,L3 V1,6,2,49.94,10,NA,NA,NA
4/22/2024,11,L3 V2,6,3,32.85,14.5,NA,NA,NA
4/22/2024,12,L3 V2,6,4,37.52,13.5,NA,NA,NA
4/22/2024,13,L4 V1,6,1,37.79,9,NA,NA,NA
4/22/2024,14,L4 V1,6,2,42.08,10,NA,NA,NA
4/22/2024,15,L4 V2,6,3,35.79,16,NA,NA,NA
4/22/2024,16,L4 V2,6,4,41.67,12.5,NA,NA,NA
4/29/2024,1,L1 V1,7,1,47.88,11,NA,NA,NA
4/29/2024,2,L1 V1,7,2,39.69,8,NA,NA,NA
4/29/2024,3,L1 V2,7,3,32.89,13.5,NA,NA,NA
4/29/2024,4,L1 V2,7,4,26.95,13,NA,NA,NA
4/29/2024,5,L2 V1,7,1,33.01,12,NA,NA,NA
4/29/2024,6,L2 V1,7,2,44.58,9,NA,NA,NA
4/29/2024,7,L2 V2,7,3,33.02,12,NA,NA,NA
4/29/2024,8,L2 V2,7,4,22.33,10,NA,NA,NA
4/29/2024,9,L3 V1,7,1,37.06,9,NA,NA,NA
4/29/2024,10,L3 V1,7,2,47.56,10,NA,NA,NA
4/29/2024,11,L3 V2,7,3,33.65,12.5,NA,NA,NA
4/29/2024,12,L3 V2,7,4,29.56,11,NA,NA,NA
4/29/2024,13,L4 V1,7,1,37.04,9,NA,NA,NA
4/29/2024,14,L4 V1,7,2,37.98,10,NA,NA,NA
4/29/2024,15,L4 V2,7,3,44.02,13,NA,NA,NA
4/29/2024,16,L4 V2,7,4,43.28,12.8,NA,NA,NA
06/05/2024,1,L1 V1,8,1,48.61,7.5,NA,NA,NA
06/05/2024,2,L1 V1,8,2,54.61,7.5,NA,NA,NA
06/05/2024,3,L1 V2,8,3,43.34,12.5,NA,NA,NA
06/05/2024,4,L1 V2,8,4,28.96,12,NA,NA,NA
06/05/2024,5,L2 V1,8,1,41.58,7,NA,NA,NA
06/05/2024,6,L2 V1,8,2,37.07,8,NA,NA,NA
06/05/2024,7,L2 V2,8,3,39.73,10,NA,NA,NA
06/05/2024,8,L2 V2,8,4,32.31,9,NA,NA,NA
06/05/2024,9,L3 V1,8,1,35.32,8,NA,NA,NA
06/05/2024,10,L3 V1,8,2,47.67,9.5,NA,NA,NA
06/05/2024,11,L3 V2,8,3,33.98,12.5,NA,NA,NA
06/05/2024,12,L3 V2,8,4,35.47,12.5,NA,NA,NA
06/05/2024,13,L4 V1,8,1,34.57,7,NA,NA,NA
06/05/2024,14,L4 V1,8,2,32.11,7.5,NA,NA,NA
06/05/2024,15,L4 V2,8,3,31.17,10,NA,NA,NA
06/05/2024,16,L4 V2,8,4,43.29,12,NA,NA,NA
